item_id	source_id	source_path	source_hash	target_artifact	status
AC-001	AC-001	claude-code/examples/hooks/bash_command_validator_example.py	0d7a9468405bb614ebddfb56037217cd9282a8045ea87a42cf6ff4099a61820d	Docs/learn/agent_comms/files/claude-code/examples/hooks/bash_command_validator_example.py_learn.md	[x]
AC-002	AC-002	claude-code/examples/settings/README.md	ab8ea80cbc9065d195974bcfac84940f058bd7329b010cd162ef468f788ef228	Docs/learn/agent_comms/files/claude-code/examples/settings/README.md_learn.md	[x]
AC-003	AC-003	claude-code/plugins/agent-sdk-dev/README.md	7f9bc2aac9c7c546e550e2fa2e2d9a66d7ab6bb7dea01a2e07147f78981ba3ee	Docs/learn/agent_comms/files/claude-code/plugins/agent-sdk-dev/README.md_learn.md	[x]
AC-004	AC-004	claude-code/plugins/agent-sdk-dev/agents/agent-sdk-verifier-py.md	a72c50412f4f9940932cac0f3ca61d6ced7354b8ac8892e3f1507bcd2957006e	Docs/learn/agent_comms/files/claude-code/plugins/agent-sdk-dev/agents/agent-sdk-verifier-py.md_learn.md	[x]
AC-005	AC-005	claude-code/plugins/agent-sdk-dev/agents/agent-sdk-verifier-ts.md	68fe98341656fa242a5de9272165481d62b5670b2fff294961bc45a5c4ee57ea	Docs/learn/agent_comms/files/claude-code/plugins/agent-sdk-dev/agents/agent-sdk-verifier-ts.md_learn.md	[x]
AC-006	AC-006	claude-code/plugins/agent-sdk-dev/commands/new-sdk-app.md	d273539c037e63bec2be30ac0e3474371a8725d7b0c39cb9e4341534fde83fb6	Docs/learn/agent_comms/files/claude-code/plugins/agent-sdk-dev/commands/new-sdk-app.md_learn.md	[x]
AC-007	AC-007	claude-code/plugins/hookify/agents/conversation-analyzer.md	535ec8acb55b51bfac83a54f5f5c70746a52adb7a0b785e9be0e376c7e2eb12c	Docs/learn/agent_comms/files/claude-code/plugins/hookify/agents/conversation-analyzer.md_learn.md	[x]
AC-008	AC-008	claude-code/plugins/hookify/core/config_loader.py	9f1d083cc43883323ddf00747e7696a4fd9d478ddd63f5b43038657da8516e56	Docs/learn/agent_comms/files/claude-code/plugins/hookify/core/config_loader.py_learn.md	[x]
AC-009	AC-009	claude-code/plugins/hookify/core/rule_engine.py	3bc18bd7167ab4ea2c06b9693b1994d267e0678c9210db9761c93060607f9fce	Docs/learn/agent_comms/files/claude-code/plugins/hookify/core/rule_engine.py_learn.md	[x]
AC-010	AC-010	claude-code/plugins/hookify/hooks/hooks.json	838dd2ffbe325307cc23a02ef541fd45c25fd42492d64ccbe9ec11233a3a04f0	Docs/learn/agent_comms/files/claude-code/plugins/hookify/hooks/hooks.json_learn.md	[x]
AC-011	AC-011	claude-code/plugins/hookify/hooks/posttooluse.py	b440f17f3a6c962d87f094ce8974cb6090881adec2e495eb2356aa89b945f741	Docs/learn/agent_comms/files/claude-code/plugins/hookify/hooks/posttooluse.py_learn.md	[x]
AC-012	AC-012	claude-code/plugins/hookify/hooks/pretooluse.py	cf3f718f26f57979686ca00d9cccbe09bc7920943bdc35cd689ba5163a777aac	Docs/learn/agent_comms/files/claude-code/plugins/hookify/hooks/pretooluse.py_learn.md	[x]
AC-013	AC-013	claude-code/plugins/hookify/hooks/stop.py	c37678c66db0d9ca0c2d4004ee073de88617c70c6def11bfd110d5610ddfb24c	Docs/learn/agent_comms/files/claude-code/plugins/hookify/hooks/stop.py_learn.md	[x]
AC-014	AC-014	claude-code/plugins/hookify/hooks/userpromptsubmit.py	82c8784355826e9ecfa01c5b357c27d1246c21f0d26400d32ea962c7db4e3d01	Docs/learn/agent_comms/files/claude-code/plugins/hookify/hooks/userpromptsubmit.py_learn.md	[x]
AC-015	AC-015	codex/codex-rs/core/src/agent/agent_names.txt	f6ae12de892a2543bd109cd4da292e98f41c58ce29f0756f5e1eb8ef477e75f9	Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/agent_names.txt_learn.md	[x]
AC-016	AC-016	codex/codex-rs/core/src/agent/builtins/awaiter.toml	0e760708892f50ae3c6bcc0080e10276c8ac40e6f98bdd4924c3094ba5693f69	Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/builtins/awaiter.toml_learn.md	[x]
AC-017	AC-017	codex/codex-rs/core/src/agent/builtins/explorer.toml	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/builtins/explorer.toml_learn.md	[x]
AC-018	AC-018	codex/codex-rs/core/src/agent/control.rs	1bbaad2c63db6b05cc7048947501b88ab00f552531d045efa9a3e463782264be	Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/control.rs_learn.md	[x]
AC-019	AC-019	codex/codex-rs/core/src/agent/control_tests.rs	2f5d91da9952f766230292b12652053c2d8354f5c0f855e7cc1339e03d816dfc	Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/control_tests.rs_learn.md	[x]
AC-020	AC-020	codex/codex-rs/core/src/agent/guards.rs	5c934424258cd8a31fb1b7ebc11360229f91e1c4a0620509fa30d9ee401a665d	Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/guards.rs_learn.md	[x]
AC-021	AC-021	codex/codex-rs/core/src/agent/guards_tests.rs	7bdfa8b238e430526c4812e5f55a7bda155452c5ee2aa111e1b51cff3b5d41a9	Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/guards_tests.rs_learn.md	[x]
AC-022	AC-022	codex/codex-rs/core/src/agent/mod.rs	7d4ac3345a53771db0d34e90a90c085dd488f1551079d0d4bb5a481b4116e9b1	Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/mod.rs_learn.md	[x]
AC-023	AC-023	codex/codex-rs/core/src/agent/role.rs	4fffb32e3f9c39570ba19425568bb0b727f45076610e380e26c096ec377d899b	Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/role.rs_learn.md	[x]
AC-024	AC-024	codex/codex-rs/core/src/agent/role_tests.rs	17cdabf745d5c0eeab0ca1a40134f23aad4bc3927ddd369337ed8d68e23a1a3b	Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/role_tests.rs_learn.md	[x]
AC-025	AC-025	codex/codex-rs/core/src/agent/status.rs	fbbbec8b65035d17ae977ca3d73a24286a6e11fcb176daa1909a3cbc777e3910	Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/status.rs_learn.md	[x]
AC-026	AC-026	codex/codex-rs/core/src/external_agent_config.rs	9776eed65b77a2aed9931c45ef11da8f59fb2f1051978b5f2bb1d7bedd4d784d	Docs/learn/agent_comms/files/codex/codex-rs/core/src/external_agent_config.rs_learn.md	[x]
AC-027	AC-027	codex/codex-rs/core/src/tasks/compact.rs	696d43f6f62440ae1a99375b650632db44db7750f65a76bdf3ceb7ac82b95d8f	Docs/learn/agent_comms/files/codex/codex-rs/core/src/tasks/compact.rs_learn.md	[x]
AC-028	AC-028	codex/codex-rs/core/src/tasks/ghost_snapshot.rs	dbfc0e2734f96511fdffc3646ba2fbaac7905a1d07aa3aad95513dadd43928da	Docs/learn/agent_comms/files/codex/codex-rs/core/src/tasks/ghost_snapshot.rs_learn.md	[x]
AC-029	AC-029	codex/codex-rs/core/src/tasks/mod.rs	e85e5bd59fa9d50fbb365a362d59a29223baeb9b5ffa119817d2cfa38a08a432	Docs/learn/agent_comms/files/codex/codex-rs/core/src/tasks/mod.rs_learn.md	[x]
AC-030	AC-030	codex/codex-rs/core/src/tasks/regular.rs	36eaf4297c8700e5c610a12c64a8e40652e4f01b29bbc3a7f05bed495aa1be35	Docs/learn/agent_comms/files/codex/codex-rs/core/src/tasks/regular.rs_learn.md	[x]
AC-031	AC-031	codex/codex-rs/core/src/tasks/review.rs	72bbbd98e7a6e95e25c9f411b28225f76e8f921e511bed3d0b41b43a39cf81ba	Docs/learn/agent_comms/files/codex/codex-rs/core/src/tasks/review.rs_learn.md	[x]
