source_id	source_path	source_kind	source_bytes	source_hash	subset_id	group_id	chunk_set_id	target_artifact	folder_artifact	mapping_mode	item_id	status
AC-001	claude-code/examples/hooks/bash_command_validator_example.py	source	2078	0d7a9468405bb614ebddfb56037217cd9282a8045ea87a42cf6ff4099a61820d	agent_comms	claude-code		Docs/learn/agent_comms/files/claude-code/examples/hooks/bash_command_validator_example.py_learn.md	Docs/learn/agent_comms/claude-code/examples/hooks/current_folder_learn.md	understand	AC-001	[x]
AC-002	claude-code/examples/settings/README.md	source	1846	ab8ea80cbc9065d195974bcfac84940f058bd7329b010cd162ef468f788ef228	agent_comms	claude-code		Docs/learn/agent_comms/files/claude-code/examples/settings/README.md_learn.md	Docs/learn/agent_comms/claude-code/examples/settings/current_folder_learn.md	understand	AC-002	[x]
AC-003	claude-code/plugins/agent-sdk-dev/README.md	source	6397	7f9bc2aac9c7c546e550e2fa2e2d9a66d7ab6bb7dea01a2e07147f78981ba3ee	agent_comms	claude-code		Docs/learn/agent_comms/files/claude-code/plugins/agent-sdk-dev/README.md_learn.md	Docs/learn/agent_comms/claude-code/plugins/agent-sdk-dev/current_folder_learn.md	understand	AC-003	[x]
AC-004	claude-code/plugins/agent-sdk-dev/agents/agent-sdk-verifier-py.md	source	5206	a72c50412f4f9940932cac0f3ca61d6ced7354b8ac8892e3f1507bcd2957006e	agent_comms	claude-code		Docs/learn/agent_comms/files/claude-code/plugins/agent-sdk-dev/agents/agent-sdk-verifier-py.md_learn.md	Docs/learn/agent_comms/claude-code/plugins/agent-sdk-dev/agents/current_folder_learn.md	understand	AC-004	[x]
AC-005	claude-code/plugins/agent-sdk-dev/agents/agent-sdk-verifier-ts.md	source	5419	68fe98341656fa242a5de9272165481d62b5670b2fff294961bc45a5c4ee57ea	agent_comms	claude-code		Docs/learn/agent_comms/files/claude-code/plugins/agent-sdk-dev/agents/agent-sdk-verifier-ts.md_learn.md	Docs/learn/agent_comms/claude-code/plugins/agent-sdk-dev/agents/current_folder_learn.md	understand	AC-005	[x]
AC-006	claude-code/plugins/agent-sdk-dev/commands/new-sdk-app.md	source	7846	d273539c037e63bec2be30ac0e3474371a8725d7b0c39cb9e4341534fde83fb6	agent_comms	claude-code		Docs/learn/agent_comms/files/claude-code/plugins/agent-sdk-dev/commands/new-sdk-app.md_learn.md	Docs/learn/agent_comms/claude-code/plugins/agent-sdk-dev/commands/current_folder_learn.md	understand	AC-006	[x]
AC-007	claude-code/plugins/hookify/agents/conversation-analyzer.md	source	5478	535ec8acb55b51bfac83a54f5f5c70746a52adb7a0b785e9be0e376c7e2eb12c	agent_comms	claude-code		Docs/learn/agent_comms/files/claude-code/plugins/hookify/agents/conversation-analyzer.md_learn.md	Docs/learn/agent_comms/claude-code/plugins/hookify/agents/current_folder_learn.md	understand	AC-007	[x]
AC-008	claude-code/plugins/hookify/core/config_loader.py	source	9690	9f1d083cc43883323ddf00747e7696a4fd9d478ddd63f5b43038657da8516e56	agent_comms	claude-code		Docs/learn/agent_comms/files/claude-code/plugins/hookify/core/config_loader.py_learn.md	Docs/learn/agent_comms/claude-code/plugins/hookify/core/current_folder_learn.md	understand	AC-008	[x]
AC-009	claude-code/plugins/hookify/core/rule_engine.py	source	10727	3bc18bd7167ab4ea2c06b9693b1994d267e0678c9210db9761c93060607f9fce	agent_comms	claude-code		Docs/learn/agent_comms/files/claude-code/plugins/hookify/core/rule_engine.py_learn.md	Docs/learn/agent_comms/claude-code/plugins/hookify/core/current_folder_learn.md	understand	AC-009	[x]
AC-010	claude-code/plugins/hookify/hooks/hooks.json	source	1020	838dd2ffbe325307cc23a02ef541fd45c25fd42492d64ccbe9ec11233a3a04f0	agent_comms	claude-code		Docs/learn/agent_comms/files/claude-code/plugins/hookify/hooks/hooks.json_learn.md	Docs/learn/agent_comms/claude-code/plugins/hookify/hooks/current_folder_learn.md	understand	AC-010	[x]
