item_id	source_id	source_path	source_hash	target_artifact	status
OC-001	OC-001	packages/opencode/src/agent/agent.ts	e781c571d584fa996200e320f14c2735e32968256b8db194391e7c06aed7433e	Docs/learn/opencode_runtime/files/packages/opencode/src/agent/agent.ts_learn.md	[x]
OC-002	OC-002	packages/opencode/src/agent/subagent-permissions.ts	c3bbbd4ea8f076c9da07f5dd242bb07581bd8744b602e3e23deb02ea87601e6c	Docs/learn/opencode_runtime/files/packages/opencode/src/agent/subagent-permissions.ts_learn.md	[x]
OC-003	OC-003	packages/opencode/src/permission/arity.ts	4200d3074fa8b6b6a63100fa93deb201be16f92c655721401d47c2ca0a109832	Docs/learn/opencode_runtime/files/packages/opencode/src/permission/arity.ts_learn.md	[x]
OC-004	OC-004	packages/opencode/src/permission/evaluate.ts	0ee7b7fea6766c57ce0583bd6f23a303c5af314c0e5287018fa6bdfdc38e5a6e	Docs/learn/opencode_runtime/files/packages/opencode/src/permission/evaluate.ts_learn.md	[x]
OC-005	OC-005	packages/opencode/src/permission/index.ts	5b9e4aa65290a39363722b9fae4c68080188d8ed76896afa0d96cd9dbfd2821d	Docs/learn/opencode_runtime/files/packages/opencode/src/permission/index.ts_learn.md	[x]
OC-006	OC-006	packages/opencode/src/provider/auth.ts	7331fda8558fe517aa5a69a8aa78dcbb80af719f43caf16c8960f9c5ad7a0d2e	Docs/learn/opencode_runtime/files/packages/opencode/src/provider/auth.ts_learn.md	[x]
OC-007	OC-007	packages/opencode/src/provider/error.ts	eb04a3e8ec37aa50342a74d4d51b25d671fd30f032b170a0e9be9e0d32c0ddb4	Docs/learn/opencode_runtime/files/packages/opencode/src/provider/error.ts_learn.md	[x]
OC-008	OC-008	packages/opencode/src/provider/model-status.ts	7e99e64d54d69505e3d8f46051adf56a991a63e32fd2ec4acac53fc197218f66	Docs/learn/opencode_runtime/files/packages/opencode/src/provider/model-status.ts_learn.md	[x]
OC-009	OC-009	packages/opencode/src/provider/provider.ts	77216c71fd0079da036ac25af516a29ee45f58b52e7c63987065ca97583ee364	Docs/learn/opencode_runtime/files/packages/opencode/src/provider/provider.ts_learn.md	[x]
OC-010	OC-010	packages/opencode/src/provider/transform.ts	c07d49e48dd2478ad2813a10805781a72551db2fd847b7df994cc854bf654c16	Docs/learn/opencode_runtime/files/packages/opencode/src/provider/transform.ts_learn.md	[x]
OC-011	OC-011	packages/opencode/src/session/compaction.ts	8d478570a7e4ad32b746030d4f86a1c673949b1e2259bd716b3885d99283289a	Docs/learn/opencode_runtime/files/packages/opencode/src/session/compaction.ts_learn.md	[x]
OC-012	OC-012	packages/opencode/src/session/instruction.ts	fee79c023eae44f720d4d600f334a987ad5f7615c4a008a20c89131a92684a8f	Docs/learn/opencode_runtime/files/packages/opencode/src/session/instruction.ts_learn.md	[x]
OC-013	OC-013	packages/opencode/src/session/llm.ts	5f1dcfb734853e39760e4dd05470f0c7d8752fc5dcc64e118c065149602e402d	Docs/learn/opencode_runtime/files/packages/opencode/src/session/llm.ts_learn.md	[x]
OC-014	OC-014	packages/opencode/src/session/llm/ai-sdk.ts	3d2e653811abaf230b3fea9a54049499d1be2c09dabe017ed4eb99918ee7def5	Docs/learn/opencode_runtime/files/packages/opencode/src/session/llm/ai-sdk.ts_learn.md	[x]
OC-015	OC-015	packages/opencode/src/session/llm/native-request.ts	ee47e4430d7bb959f0ef672ca40ad9a45acd5ca4e0df72548e01825da3208432	Docs/learn/opencode_runtime/files/packages/opencode/src/session/llm/native-request.ts_learn.md	[x]
OC-016	OC-016	packages/opencode/src/session/llm/native-runtime.ts	ad7ba806e0b9d429ccd93b02b3583754254e6fc540450cb97e16393c28d394c2	Docs/learn/opencode_runtime/files/packages/opencode/src/session/llm/native-runtime.ts_learn.md	[x]
OC-017	OC-017	packages/opencode/src/session/llm/request.ts	a92010ff1981f9bdf62c7d2f6dcbe28baea041e2cd54bf0b54fd2ea667b92cf2	Docs/learn/opencode_runtime/files/packages/opencode/src/session/llm/request.ts_learn.md	[x]
OC-018	OC-018	packages/opencode/src/session/message-error.ts	0a57851de3412cff21c9d2c679788fcaf6c835155b567e900b4873a08016f750	Docs/learn/opencode_runtime/files/packages/opencode/src/session/message-error.ts_learn.md	[x]
OC-019	OC-019	packages/opencode/src/session/message-v2.ts	bfeb41e03e3788c83d3a031cce0aa1cf19a82c024a09e2a6aadbebb7a3d40d53	Docs/learn/opencode_runtime/files/packages/opencode/src/session/message-v2.ts_learn.md	[x]
OC-020	OC-020	packages/opencode/src/session/message.ts	0ece6d145ad543b16f45116d27ff37ac4b875f878ea05f940bfe365f26a64fc3	Docs/learn/opencode_runtime/files/packages/opencode/src/session/message.ts_learn.md	[x]
OC-021	OC-021	packages/opencode/src/session/overflow.ts	fa0d52e8a59b737e8129d6473f9f6416567cd765c6068f854e4ea0dd3d351d10	Docs/learn/opencode_runtime/files/packages/opencode/src/session/overflow.ts_learn.md	[x]
OC-022	OC-022	packages/opencode/src/session/processor.ts	0b31e207beda56bd9a4b9b88c9e42d89a0651dd011773748c8e2938dfc3dcb74	Docs/learn/opencode_runtime/files/packages/opencode/src/session/processor.ts_learn.md	[x]
OC-023	OC-023	packages/opencode/src/session/prompt.ts	f0c5bc64c0f0e966693d4a57f7ede1e9d6e188b396152f04b55303dc75b9b768	Docs/learn/opencode_runtime/files/packages/opencode/src/session/prompt.ts_learn.md	[x]
OC-024	OC-024	packages/opencode/src/session/reminders.ts	cb684f1b13330966c6d8b07b2279bb5e0f060211597fd8da172c591dfc7f8cd7	Docs/learn/opencode_runtime/files/packages/opencode/src/session/reminders.ts_learn.md	[x]
OC-025	OC-025	packages/opencode/src/session/retry.ts	7e24b96622f7b46586eabb68d3c2464d1c68f5cc58262f2d305878d5e55b9aed	Docs/learn/opencode_runtime/files/packages/opencode/src/session/retry.ts_learn.md	[x]
OC-026	OC-026	packages/opencode/src/session/revert.ts	c7e578bc0e8d01e551a06ce91a611c974e2e0e6ce59c5f6578922ba162536879	Docs/learn/opencode_runtime/files/packages/opencode/src/session/revert.ts_learn.md	[x]
OC-027	OC-027	packages/opencode/src/session/run-state.ts	75ed3e7f02474f4ff8ac88b5f24b75ffa7cdb9829770377e7c33d248df43936e	Docs/learn/opencode_runtime/files/packages/opencode/src/session/run-state.ts_learn.md	[x]
OC-028	OC-028	packages/opencode/src/session/schema.ts	fe78e7d60b0772cb62c95473f8ff4c0e68caa083bbbb4dc1cc1984217234822d	Docs/learn/opencode_runtime/files/packages/opencode/src/session/schema.ts_learn.md	[x]
OC-029	OC-029	packages/opencode/src/session/session.ts	0c56ae3535e29cae0de51156eaba2842c0896309f1d6b12525566b4a8ba4c7f2	Docs/learn/opencode_runtime/files/packages/opencode/src/session/session.ts_learn.md	[x]
OC-030	OC-030	packages/opencode/src/session/status.ts	dbbbdee83c292379c1665a1d482b810a13754b6ae2143169b24c75ced5841b42	Docs/learn/opencode_runtime/files/packages/opencode/src/session/status.ts_learn.md	[x]
OC-031	OC-031	packages/opencode/src/session/summary.ts	116bcdfe4467a384920582688fe37739318817e2867000c733519b1783652fe8	Docs/learn/opencode_runtime/files/packages/opencode/src/session/summary.ts_learn.md	[x]
OC-032	OC-032	packages/opencode/src/session/system.ts	7257f0660202d3e5d7ef86ee48cb4e51d5d0aa67703c274b8eb840b8ae307bbc	Docs/learn/opencode_runtime/files/packages/opencode/src/session/system.ts_learn.md	[x]
OC-033	OC-033	packages/opencode/src/session/todo.ts	efebbc2397e659fc122d8606c42dfd42b4400313ff6537429938b9610e6cf825	Docs/learn/opencode_runtime/files/packages/opencode/src/session/todo.ts_learn.md	[x]
